CODE_DM,Latitude,Longitude
DM-01-07-01-01,13.79076173,100.4094708
DM-17-11-03-01,13.5110827,100.7030189
DM-17-08-04-01,13.5067182,100.7308624
DM-17-11-03-03,13.50972174,100.7828557
DM-17-11-05-02,13.5100677,100.8045594
DM-17-11-06-01,13.50572,100.8284959
DM-17-11-06-02,13.502986,100.8360522
DM-17-10-07-02,13.534183,100.8332565
DM-17-10-07-01,13.534183,100.8332565
DM-17-10-04-02,13.58180097,100.8008346
DM-17-10-04-01,13.56842564,100.8265221
DM-17-10-05-01,13.5702468,100.8166683
DM-17-06-08-02,13.5988717,100.6008351
DM-17-02-02-01,13.56226179,100.6714153
DM-17-07-03-01,13.5701908,100.6066637
DM-17-07-03-02,13.5773493,100.6068211
DM-17-07-04-01,13.5773493,100.6068211
DM-17-07-07-01,13.5524293,100.6151403
DM-17-07-07-02,13.53983528,100.6211458
DM-17-07-08-01,13.53504877,100.6271582
DM-17-07-10-02,13.52843731,100.6562119
DM-17-07-10-01,13.51983936,100.6635249
DM-17-01-11-03,13.5171374,100.674326
DM-17-01-11-02,13.52159311,100.6546127
DM-17-01-11-04,13.5233694,100.6465253
DM-17-01-11-01,13.52558097,100.6393599
DM-17-01-10-01,13.53384219,100.6283177
DM-17-01-10-02,13.54047459,100.6205779
DM-17-01-09-01,13.55470507,100.6137306
DM-17-01-08-01,13.55470588,100.613769
17-01-07-01,13.5727889,100.6050797
DM-17-01-03-01,13.59601516,100.6061903
DM-17-01-03-02,13.59884497,100.5999693
DM-17-01-02-01,13.62097581,100.59025
DM-17-06-08-01,13.59617404,100.6066775
DM-17-06-06-01,13.61215469,100.6184283
DM-17-06-04-01,13.63698381,100.6098157
DM-17-03-04-02,13.6447774,100.5855015
DM-17-06-04-02,13.61446436,100.6198794
DM-17-06-04-03,13.63487506,100.6130505
DM-17-06-01-01,13.63487506,100.6130505
DM-17-06-03-01,13.63846696,100.6070396
DM-17-06-02-01,13.64338031,100.6007364
DM-17-06-05-01,13.62115864,100.5904555
DM-17-06-07-01,13.61259003,100.5935293
DM-17-07-07-01,13.58562199,100.6117426
DM-17-07-06-01,13.57368288,100.6364401
DM-17-07-06-02,13.57267042,100.6402827
DM-17-07-09-01,13.56822857,100.6608338
DM-17-07-05-01,13.57342483,100.6363978
DM-17-07-02-01,13.58201445,100.6207649
DM-17-01-04-01,13.57765753,100.6032023
DM-17-01-05-01,13.58576507,100.5993304
DM-17-01-05-02,13.57899032,100.5925756
DM-17-01-07-02,13.57417192,100.591894
DM-17-01-08-03,13.56093702,100.5989329
DM-17-03-04-01,13.64644556,100.5773395
DM-17-01-06-01,13.5742173,100.5918675
DM-17-03-03-02,13.64825185,100.5683595
DM-17-03-05-01,13.64792865,100.5686384
DM-17-01-02-02,13.58531626,100.5955026
DM-17-03-03-01,13.65085309,100.5554715
DM-17-03-02-01,13.65162981,100.5493346
DM-17-03-01-01,13.65430139,100.5436054
DM-17-03-01-02,13.65254467,100.5413523
DM-17-03-06-02,13.62526166,100.5618498
DM-17-03-06-01,13.62622093,100.5622923
DM-17-03-05-02,13.63432507,100.5715084
DM-17-03-07-01,13.63381156,100.5904394
DM-17-06-01-02,13.61838241,100.6116611
DM-05-05-02-02,13.7160084,100.5534929
DM-05-01-04-02,13.7309501,100.5330892
DM-05-05-02-03,13.7101409,100.5421124
DM-05-05-03-01,13.7105657,100.5508177
DM-05-05-04-02,13.7028222,100.5459269
DM-05-05-04-01,13.6961769,100.5468785
DM-05-05-11-01,13.6855765,100.5480936
DM-05-05-14-02,13.6745149,100.5439832
DM-05-05-14-01,13.6741157,100.535104
DM-05-04-11-01,13.6828561,100.5244207
DM-05-04-10-04,13.6831694,100.5246078
DM-05-05-12-03,13.6776374,100.530725
DM-05-05-08-02,13.6930948,100.5471019
DM-07-07-04-03,13.76515667,100.6817133
DM-07-07-04-02,13.7766376,100.673368
DM-07-07-04-01,13.77532726,100.6709808
DM-07-07-02-01,13.76777767,100.6582618
DM-07-07-03-01,13.7721152,100.6651041
DM-07-07-01-01,13.76181182,100.6456715
DM-07-06-05-01,13.72381173,100.6897214
DM-05-05-10-01,13.6852308,100.5451525
DM-05-05-13-01,13.6770117,100.5396249
DM-05-05-12-02,13.6770123,100.5391891
DM-05-05-12-01,13.6862907,100.5367825
DM-05-04-10-02,13.68359138,100.5321438
DM-05-04-10-03,13.6880114,100.5332674
DM-05-04-10-01,13.6923085,100.5339993
DM-05-04-07-01,13.6955699,100.5326479
DM-05-04-04-01,13.701836,100.5302381
DM-05-05-07-02,13.6990917,100.5314685
DM-05-05-09-04,13.6906373,100.5343538
DM-05-05-09-03,13.6865846,100.5369006
DM-05-05-09-02,13.6855895,100.5449587
DM-05-01-05-01,13.72535453,100.5164762
DM-05-01-03-03,13.7254931,100.5164172
